RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METH,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAY,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8-1,Q8-2,Q8-3,Q8-4,Q8-5,Q9Boarding,Q9AirTrain,Q9Rental,Q9Food,Q9Restroom,Q9All,Q9-1,Q9-2,Q9-3,Q10Safe,Q10-1,Q10-2,Q10-3,Q11TSAPRE,Q12PRECHECKRATE,Q12-1,Q12-2,Q12-3,Q13COUNTY,Q13GETRATE,Q14FIND ,Q14PASSTHRU,Q15PROBLEM,Q15-1,Q15-2,Q15-3,NETPRO  ,Q17LIVE,Q18CITY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q20Age,Q21Gender,Q22Income,Q23FLY,Q24SJC,Q24OAK,LANG,WEIGHT
2326,2637,75,6,1,70,F,2,2,1,2,UNITED,HOUSTON-BUSH,1615,30,25,3,4,7:00 AM,1:02:00 PM,362,2,,,13,,,,1,0,1,0,1,2,1,6,5,6,5,5,5,5,5,6,6,6,6,6,6,5,0,,,,,5,5,6,5,5,5,0,,,5,2,,,1,5,0,,,5,5,5,5,2,,,,10,3,BONITA SPRINGS,FL,34135,US,12,7,2,2,2,2,2,1,1.4869248
2327,1525,517,15,3,50,D,3,2,1,2,ALASKA,"WASHINGTON,DC-DULLES",1090,7,72,2,2,6:45 PM,9:05:00 PM,140,2,,,6,,,,2,2,2,1,4,1,4,5,4,3,4,4,4,6,6,3,3,3,3,3,3,4,0,,,,,3,3,3,3,3,3,0,,,5,0,,,1,4,0,,,5,5,5,3,2,,,,10,1,SAN FRANCISCO,CA,94103,US,5,3,2,4,2,2,2,1,1.1063322
2328,2250,610,23,4,45,D,3,2,1,2,AMERICAN,LOS ANGELES,6026,8,34,1,4,5:00 PM,7:10:00 PM,130,2,,,2,,,,1,2,2,2,1,1,2,4,4,5,5,4,5,4,4,5,5,5,6,6,6,5,0,,,,,5,6,4,0,4,4,0,,,4,0,,,1,5,0,,,5,5,5,5,2,,,,10,2,,,,US,91,4,1,3,3,2,1,1,1.0611394
2329,936,157,15,3,11,A,1,2,1,2,JETBLUE,BOSTON,434,22,8,2,3,6:15 AM,7:57:00 AM,102,2,,,5,,,,1,2,1,1,3,1,4,4,4,4,4,4,4,6,6,0,0,0,0,0,0,BLANK,0,,,,,4,4,4,4,4,4,0,,,4,0,,,1,3,0,,,5,5,5,5,2,,,,10,1,SAN FRANCISCO,CA,94123,US,5,7,1,4,2,2,2,1,0.6704842
2330,1203,102,11,6,68,E,2,1,1,2,UNITED,KAHULUI,1273,30,28,1,1,9:30 AM,11:02:00 AM,92,2,,,2,,,,1,0,0,1,3,1,4,5,6,4,5,4,5,6,6,5,5,6,6,6,6,4,0,,,,,5,6,6,6,4,4,0,,,4,0,,,1,5,0,,,6,5,5,5,2,,,,10,1,,,,US,90,7,2,0,2,2,1,1,1.4869248
2331,1637,635,30,4,73,F,1,1,1,2,UNITED,"WASHINGTON,DC-DULLES",516,30,72,2,2,8:20 AM,9:47:00 AM,87,2,,,5,,,,1,2,1,1,4,1,4,4,3,4,5,4,4,4,4,5,4,6,6,6,6,4,0,,,,,4,6,6,4,3,4,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,1,SAN FRANCISCO,CA,94114,US,5,3,2,4,2,2,2,1,1.4869248
2332,2599,64,4,6,54,D,2,3,1,2,ALASKA,SAN JOSE DEL CABO,1276,7,58,4,1,9:00 AM,11:15:00 AM,135,2,,,2,,,,1,1,2,1,6,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,25,5,5,5,2,,,,10,2,TRACY,CA,95376,US,10,3,2,3,2,2,2,1,1.1063322
2333,2413,644,31,5,54,D,1,2,1,2,ALASKA,SEATTLE,313,7,62,1,4,6:00 AM,7:15:00 AM,75,2,,,6,,,,1,2,1,2,1,1,2,5,5,5,5,5,5,6,5,5,6,6,5,6,6,5,0,,,,,5,5,6,5,5,5,0,,,5,0,,,1,5,0,,,2,5,5,5,2,,,,10,1,ANTIOCH,CA,94509,US,2,5,2,3,2,3,1,1,1.1063322
2334,2398,645,31,5,50,D,1,2,1,2,ALASKA,NEWARK,1174,7,43,2,4,6:25 AM,7:50:00 AM,85,2,,,5,,,,2,1,2,1,3,1,4,4,6,4,5,0,5,6,6,5,5,5,5,5,5,5,0,,,,,5,5,5,5,5,5,0,,,3,0,,,1,5,0,,,7,5,5,5,2,,,,10,1,CUPERTINO,CA,95014,US,7,4,1,3,2,1,2,1,1.1063322
2335,1480,520,15,3,24,B,3,2,1,2,SOUTHWEST,SAN DIEGO,5688,28,57,1,2,4:40 PM,5:30:00 PM,50,2,,,5,,,,2,2,2,2,1,1,3,6,6,6,5,6,5,6,6,6,6,6,6,6,6,5,0,,,,,5,6,6,6,6,5,0,,,5,0,,,1,5,0,,,5,5,3,5,2,,,,10,3,SAN DIEGO,CA,92103,US,10,4,1,2,2,2,2,1,0.9942748
